"method","method_setting","condition_id","bias","bias_mcse"
"RMA","default",1,-0.00333556140455692,0.00570818806334379
"RMA","default",2,-0.00996936058672312,0.00582566864568611
"RMA","default",3,-0.0084293492201905,0.00777891500001896
"RMA","default",4,-0.00744426394543945,0.00804588143646546
"RMA","default",5,0.00294183926496434,0.00173822817983962
"RMA","default",6,-0.0020864476798289,0.00175522819759736
"RMA","default",7,0.00341053655111974,0.00250273109361018
"RMA","default",8,0.00120035108718222,0.00251845017512866
"PET","default",1,-0.00617264852327963,0.0243976069536753
"PET","default",2,-0.0380742564804577,0.0233725670817184
"PET","default",3,0.00271477486459705,0.03303985357232
"PET","default",4,-0.00823517252197193,0.0283484833084202
"PET","default",5,-0.0129594642763783,0.00634176169719619
"PET","default",6,-0.00616287666122411,0.00555850018004379
"PET","default",7,0.00337991519695448,0.00895153090132223
"PET","default",8,0.00552154945065067,0.00842935006998985
"PEESE","default",1,-0.00454225132102189,0.0118471585864806
"PEESE","default",2,-0.0207618101112198,0.012138969168015
"PEESE","default",3,-0.00108741098895675,0.0171658653091816
"PEESE","default",4,-0.00559594033056572,0.0148357164729571
"PEESE","default",5,-0.00391730289726978,0.00319992500102671
"PEESE","default",6,-0.00379033892442391,0.00290969630961488
"PEESE","default",7,0.00346273838420952,0.00470508298304194
"PEESE","default",8,0.00315814717378199,0.00453358689375177
"PETPEESE","default",1,-0.00443797322626783,0.0191025895675159
"PETPEESE","default",2,-0.0328655044065737,0.0205726444676111
"PETPEESE","default",3,0.00596366659964336,0.0259485518374592
"PETPEESE","default",4,-0.000444009517158588,0.0242857717043846
"PETPEESE","default",5,-0.00742702028254424,0.0049122269599718
"PETPEESE","default",6,-0.00519425460174531,0.00453174897902767
"PETPEESE","default",7,0.00282873861036382,0.00743872424682028
"PETPEESE","default",8,0.00568011023962654,0.00696562180439093
"WLS","default",1,-0.00418117542503459,0.00562732577439244
"WLS","default",2,-0.0116582686316155,0.00573328582767818
"WLS","default",3,-0.00571885641817209,0.00777630413257895
"WLS","default",4,-0.0081698202888511,0.0080493415238993
"WLS","default",5,0.00285016579767989,0.00174204902132587
"WLS","default",6,-0.0020626719950949,0.00175435802377437
"WLS","default",7,0.00316924940847058,0.00249823811601258
"WLS","default",8,0.00136925241091633,0.00261133658820336
"WILS","default",1,-0.015689012842611,0.00587215002649297
"WILS","default",2,-0.0527118062566947,0.0083959220987528
"WILS","default",3,-0.0271752280263732,0.00758935529838751
"WILS","default",4,-0.0627535087731417,0.0107589560424696
"WILS","default",5,-0.00151787144790259,0.00171396943291034
"WILS","default",6,-0.0220118081673138,0.00315992734336003
"WILS","default",7,-0.00788481674293877,0.00289289893569178
"WILS","default",8,-0.0579567161625041,0.00686556993537562
"WAAPWLS","default",1,-0.00418117542503459,0.00562732577439244
"WAAPWLS","default",2,-0.0118183418135398,0.00566686657297053
"WAAPWLS","default",3,-0.00571885641817209,0.00777630413257895
"WAAPWLS","default",4,-0.00648572229826838,0.00899672081621513
"WAAPWLS","default",5,0.00285016579767989,0.00174204902132587
"WAAPWLS","default",6,0.00230854027768062,0.00363227490972793
"WAAPWLS","default",7,0.00316924940847058,0.00249823811601258
"WAAPWLS","default",8,0.0110921360216442,0.00878768233852389
"trimfill","default",1,-0.0189147055533749,0.00623282728101012
"trimfill","default",2,-0.0236934648658895,0.00618536246673316
"trimfill","default",3,-0.0290355215525896,0.0086551616976983
"trimfill","default",4,-0.0207642679520049,0.00904151062231568
"trimfill","default",5,-0.00665992821283011,0.00224376717857673
"trimfill","default",6,-0.00907047674751261,0.002008557832231
"trimfill","default",7,-0.0132408578670587,0.00346284123674378
"trimfill","default",8,-0.0119398659647152,0.00325272050606234
"SM","3PSM",1,0.00211855588186856,0.00770588482310802
"SM","3PSM",2,-0.0022293200348908,0.0102463830000011
"SM","3PSM",3,-0.00183836511160102,0.0106168136012263
"SM","3PSM",4,0.00474343698785022,0.0121677867054905
"SM","3PSM",5,0.00338215483473961,0.00189146499120111
"SM","3PSM",6,-0.00153364761102126,0.00266202017639551
"SM","3PSM",7,0.007504376825933,0.00344937386789132
"SM","3PSM",8,0.000278246879962201,0.00398001673612503
"SM","4PSM",1,0.00535056531834786,0.0124779280941762
"SM","4PSM",2,-0.017058020849656,0.0128958172939969
"SM","4PSM",3,0.0191384510502827,0.0220741885704831
"SM","4PSM",4,0.0014071896032782,0.0175556242043654
"SM","4PSM",5,0.00189611304241002,0.00312431655023921
"SM","4PSM",6,-0.00693983498312669,0.00313343142935415
"SM","4PSM",7,0.0161101318198514,0.00563809125017005
"SM","4PSM",8,0.00502375051781498,0.00461381526209823
"puniform","default",1,-1.25557457693148,0.899680952734173
"puniform","default",2,-0.129230943233887,0.0601585491378732
"puniform","default",3,0.0131942543778967,0.0956148942975151
"puniform","default",4,0.0618426382758884,0.0240556690394499
"puniform","default",5,-0.131757567173853,0.0578170311716601
"puniform","default",6,-0.00431189598278394,0.00517349479816867
"puniform","default",7,0.168013343197882,0.0247715809461742
"puniform","default",8,0.090186444924125,0.00506020876095194
"puniform","star",1,0.0130059656807839,0.00899257488001115
"puniform","star",2,-0.00258224842257981,0.0107195405491973
"puniform","star",3,0.00477693681385834,0.0109722384520069
"puniform","star",4,0.00356688568947066,0.0119769589432195
"puniform","star",5,0.00413695557608089,0.00189989337701366
"puniform","star",6,-0.0022272667546746,0.00276146447263525
"puniform","star",7,0.00734063084740369,0.00347059521890864
"puniform","star",8,0.00060616766620965,0.004037431957276
"pcurve","default",1,3.99993974725793,0
"pcurve","default",2,3.69993974725793,0
"pcurve","default",3,3.99993974725793,0
"pcurve","default",4,3.69993974725793,0
"pcurve","default",5,3.99993974725793,0
"pcurve","default",6,3.69993974725793,0
"pcurve","default",7,3.99993974725793,0
"pcurve","default",8,3.69993974725793,0
"EK","default",1,-0.00617264852327963,0.0243976069536753
"EK","default",2,-0.0380742564804577,0.0233725670817184
"EK","default",3,0.00271477486459705,0.03303985357232
"EK","default",4,-0.00823517252197193,0.0283484833084202
"EK","default",5,-0.0129594642763783,0.00634176169719619
"EK","default",6,-0.00616287666122411,0.00555850018004379
"EK","default",7,0.00337991519695448,0.00895153090132223
"EK","default",8,0.00552154945065067,0.00842935006998985
"AK","AK1",1,0.00963399407304307,0.0176222458201673
"AK","AK1",2,0.000970335072939343,0.00956265402783167
"AK","AK1",3,0.256832425425483,0.547277869693856
"AK","AK1",4,0.0123501625366829,0.0112585792027195
"AK","AK1",5,0.00268759165109874,0.00185301357423776
"AK","AK1",6,-0.0014833059115293,0.00261563074074109
"AK","AK1",7,0.00505530694079822,0.00284911909116327
"AK","AK1",8,0.00223804362425552,0.00374690408945427
"AK","AK2",1,0.0474849280959876,0.0481613157385708
"AK","AK2",2,0.132160306673404,0.0562829880456924
"AK","AK2",3,-0.0405551533871564,0.0503866425843862
"AK","AK2",4,-0.0236662681715623,0.24923277102782
