"method","method_setting","condition_id","empirical_se","empirical_se_mcse"
"RMA","default",1,0.0570818806334379,0.00405663261399147
"RMA","default",2,0.0582566864568611,0.00414012242836899
"RMA","default",3,0.0777891500001896,0.00552823416824482
"RMA","default",4,0.0804588143646545,0.00571795895322248
"RMA","default",5,0.0173822817983962,0.00123530497710439
"RMA","default",6,0.0175522819759736,0.00124738636365108
"RMA","default",7,0.0250273109361018,0.00177861354001051
"RMA","default",8,0.0251845017512866,0.00178978460481114
"PET","default",1,0.243976069536753,0.0173386242662874
"PET","default",2,0.233725670817184,0.0166101601496398
"PET","default",3,0.3303985357232,0.023480401499677
"PET","default",4,0.283484833084202,0.0201463898298341
"PET","default",5,0.0634176169719619,0.00450689378932933
"PET","default",6,0.0555850018004379,0.00395025406749376
"PET","default",7,0.0895153090132223,0.00636157600213761
"PET","default",8,0.0842935006998985,0.00599047824444683
"PEESE","default",1,0.118471585864806,0.00841940899138732
"PEESE","default",2,0.12138969168015,0.00862678974146491
"PEESE","default",3,0.171658653091815,0.0121992492692714
"PEESE","default",4,0.148357164729571,0.010543284598944
"PEESE","default",5,0.0319992500102671,0.00227408767501041
"PEESE","default",6,0.0290969630961488,0.00206783112529056
"PEESE","default",7,0.0470508298304194,0.00334375687499045
"PEESE","default",8,0.0453358689375177,0.00322187991136095
"PETPEESE","default",1,0.191025895675159,0.0135756192668054
"PETPEESE","default",2,0.205726444676111,0.0146203417927466
"PETPEESE","default",3,0.259485518374592,0.0184408328004567
"PETPEESE","default",4,0.242857717043846,0.017259146415412
"PETPEESE","default",5,0.049122269599718,0.00349096768922443
"PETPEESE","default",6,0.0453174897902767,0.00322057376224169
"PETPEESE","default",7,0.0743872424682028,0.00528647112731311
"PETPEESE","default",8,0.0696562180439093,0.00495025186186135
"WLS","default",1,0.0562732577439244,0.0039991662875562
"WLS","default",2,0.0573328582767818,0.00407446881844152
"WLS","default",3,0.0777630413257895,0.00552637870554975
"WLS","default",4,0.080493415238993,0.00572041793028764
"WLS","default",5,0.0174204902132587,0.00123802033091088
"WLS","default",6,0.0175435802377437,0.00124676795804303
"WLS","default",7,0.0249823811601258,0.00177542051986924
"WLS","default",8,0.0261133658820336,0.00185579610416858
"WILS","default",1,0.0587215002649297,0.00417315530731973
"WILS","default",2,0.083959220987528,0.00596672201973333
"WILS","default",3,0.0758935529838751,0.00539351995431155
"WILS","default",4,0.107589560424696,0.00764605711831013
"WILS","default",5,0.0171396943291034,0.00121806503636035
"WILS","default",6,0.0315992734336003,0.00224566257745347
"WILS","default",7,0.0289289893569178,0.00205589375144623
"WILS","default",8,0.0686556993537561,0.00487914809470541
"WAAPWLS","default",1,0.0562732577439244,0.0039991662875562
"WAAPWLS","default",2,0.0566686657297053,0.0040272667094966
"WAAPWLS","default",3,0.0777630413257895,0.00552637870554975
"WAAPWLS","default",4,0.0899672081621513,0.00639369107622833
"WAAPWLS","default",5,0.0174204902132587,0.00123802033091088
"WAAPWLS","default",6,0.0363227490972793,0.00258134537584835
"WAAPWLS","default",7,0.0249823811601258,0.00177542051986924
"WAAPWLS","default",8,0.0878768233852389,0.00624513389892947
"trimfill","default",1,0.0623282728101012,0.00442947747077383
"trimfill","default",2,0.0618536246673316,0.00439574569608872
"trimfill","default",3,0.086551616976983,0.00615095558040973
"trimfill","default",4,0.0904151062231568,0.00642552180538188
"trimfill","default",5,0.0224376717857673,0.00159457589935922
"trimfill","default",6,0.02008557832231,0.00142741989557773
"trimfill","default",7,0.0346284123674378,0.00246093410766507
"trimfill","default",8,0.0325272050606234,0.00231160780665692
"SM","3PSM",1,0.0731044422838352,0.00547940960981035
"SM","3PSM",2,0.100915169149752,0.00728292500924074
"SM","3PSM",3,0.0990270447946263,0.00755074137772166
"SM","3PSM",4,0.121677867054905,0.00864726947357616
"SM","3PSM",5,0.0188198390397208,0.00134427421712292
"SM","3PSM",6,0.0266202017639551,0.0018918153618687
"SM","3PSM",7,0.0344937386789132,0.00245136326537584
"SM","3PSM",8,0.0398001673612503,0.00282847473083058
"SM","4PSM",1,0.107339196124873,0.00888345507907895
