"method","method_setting","condition_id","mean_ci_width","mean_ci_width_mcse"
"RMA","default",1,0.269968125251762,0.00825751617313367
"RMA","default",2,0.266555804267097,0.00782292348091149
"RMA","default",3,0.336354673861211,0.00887001840086725
"RMA","default",4,0.336586571497829,0.00958359610359551
"RMA","default",5,0.0735020503822528,0.000607842895948716
"RMA","default",6,0.0714332229755332,0.000610402032663462
"RMA","default",7,0.0970900919910992,0.000798420925408046
"RMA","default",8,0.096065200034635,0.000794912443369672
"PET","default",1,0.839089106855962,0.0309187230154066
"PET","default",2,0.823623598485356,0.0314756732453798
"PET","default",3,1.06405747072871,0.0395727960199524
"PET","default",4,1.00086022466347,0.0314760727678703
"PET","default",5,0.240855502203223,0.0023663216979863
"PET","default",6,0.234348744588244,0.00230863158335622
"PET","default",7,0.306124462511013,0.00284128393280611
"PET","default",8,0.305457138475413,0.00266169070558488
"PEESE","default",1,0.433738067446443,0.0154741791814787
"PEESE","default",2,0.425705711236065,0.0159575954745215
"PEESE","default",3,0.552357573996848,0.0197945955706685
"PEESE","default",4,0.519710865657752,0.0154808182582869
"PEESE","default",5,0.126517600089874,0.00117198357930568
"PEESE","default",6,0.122904385868501,0.00115635533625041
"PEESE","default",7,0.161400142120894,0.00142589529907781
"PEESE","default",8,0.160171172203889,0.00132941709067539
"PETPEESE","default",1,0.795270476809441,0.0316965065745291
"PETPEESE","default",2,0.794591989388039,0.0341518262491576
"PETPEESE","default",3,1.00830970678788,0.0431594443943252
"PETPEESE","default",4,0.970200379980498,0.0331654690394543
"PETPEESE","default",5,0.228426497352695,0.00426672596363637
"PETPEESE","default",6,0.223661001004178,0.00406907833329688
"PETPEESE","default",7,0.289630579236095,0.00514234804390928
"PETPEESE","default",8,0.291357718393053,0.00518340634168364
"WLS","default",1,0.228314869120229,0.00626240553877216
"WLS","default",2,0.224823091874422,0.0060054659777029
"WLS","default",3,0.283686692716186,0.00711356822563244
"WLS","default",4,0.278581989105693,0.00700816203289588
"WLS","default",5,0.0719548790090505,0.000528687862212368
"WLS","default",6,0.0701386721493539,0.000546328792870956
"WLS","default",7,0.0919018219570289,0.000691489355302149
"WLS","default",8,0.0908327557785293,0.000670418017452862
"WILS","default",1,0.218772978106475,0.00577911990586613
"WILS","default",2,0.225426497740843,0.00739256773785232
"WILS","default",3,0.272385072947639,0.00780133715832176
"WILS","default",4,0.26234709050764,0.00754337809238375
"WILS","default",5,0.0703012093545257,0.000512992108550767
"WILS","default",6,0.0666277536994404,0.000631163018683367
"WILS","default",7,0.0891557147600449,0.000780162489564385
"WILS","default",8,0.0848834879835551,0.000889462785878599
"WAAPWLS","default",1,0.228314869120229,0.00626240553877216
"WAAPWLS","default",2,0.228225734541741,0.00686384556444794
