"method","method_setting","condition_id","coverage","coverage_mcse"
"RMA","default",1,0.96,0.0195959179422654
"RMA","default",2,0.97,0.017058722109232
"RMA","default",3,0.93,0.0255147016443461
"RMA","default",4,0.93,0.0255147016443461
"RMA","default",5,0.97,0.017058722109232
"RMA","default",6,0.97,0.017058722109232
"RMA","default",7,0.93,0.0255147016443461
"RMA","default",8,0.93,0.0255147016443461
"PET","default",1,0.88,0.0324961536185438
"PET","default",2,0.9,0.03
"PET","default",3,0.87,0.0336303434416005
"PET","default",4,0.9,0.03
"PET","default",5,0.93,0.0255147016443461
"PET","default",6,0.96,0.0195959179422654
"PET","default",7,0.92,0.0271293199325011
"PET","default",8,0.94,0.0237486841740758
"PEESE","default",1,0.91,0.0286181760425084
"PEESE","default",2,0.9,0.03
"PEESE","default",3,0.88,0.0324961536185438
"PEESE","default",4,0.91,0.0286181760425084
"PEESE","default",5,0.93,0.0255147016443461
"PEESE","default",6,0.97,0.017058722109232
"PEESE","default",7,0.93,0.0255147016443461
"PEESE","default",8,0.92,0.0271293199325011
"PETPEESE","default",1,0.93,0.0255147016443461
"PETPEESE","default",2,0.92,0.0271293199325011
"PETPEESE","default",3,0.9,0.03
"PETPEESE","default",4,0.92,0.0271293199325011
"PETPEESE","default",5,0.94,0.0237486841740758
"PETPEESE","default",6,0.98,0.014
"PETPEESE","default",7,0.93,0.0255147016443461
"PETPEESE","default",8,0.98,0.014
"WLS","default",1,0.93,0.0255147016443461
"WLS","default",2,0.93,0.0255147016443461
"WLS","default",3,0.89,0.031288975694324
"WLS","default",4,0.86,0.0346987031457949
"WLS","default",5,0.96,0.0195959179422654
"WLS","default",6,0.97,0.017058722109232
"WLS","default",7,0.92,0.0271293199325011
"WLS","default",8,0.92,0.0271293199325011
"WILS","default",1,0.91,0.0286181760425084
"WILS","default",2,0.79,0.0407308237088326
"WILS","default",3,0.91,0.0286181760425084
"WILS","default",4,0.65,0.0476969600708473
"WILS","default",5,0.96,0.0195959179422654
"WILS","default",6,0.71,0.0453762052181537
"WILS","default",7,0.86,0.0346987031457949
"WILS","default",8,0.42,0.0493558507170123
"WAAPWLS","default",1,0.93,0.0255147016443461
"WAAPWLS","default",2,0.94,0.0237486841740758
"WAAPWLS","default",3,0.89,0.031288975694324
"WAAPWLS","default",4,0.85,0.0357071421427143
"WAAPWLS","default",5,0.96,0.0195959179422654
"WAAPWLS","default",6,0.9,0.03
"WAAPWLS","default",7,0.92,0.0271293199325011
"WAAPWLS","default",8,0.88,0.0324961536185438
"trimfill","default",1,0.94,0.0237486841740758
"trimfill","default",2,0.93,0.0255147016443461
"trimfill","default",3,0.89,0.031288975694324
"trimfill","default",4,0.88,0.0324961536185438
"trimfill","default",5,0.86,0.0346987031457949
"trimfill","default",6,0.91,0.0286181760425084
"trimfill","default",7,0.81,0.0392300904918661
"trimfill","default",8,0.84,0.0366606055596467
"SM","3PSM",1,0.933333333333333,0.0262936879248872
"SM","3PSM",2,0.907216494845361,0.0294581174512516
"SM","3PSM",3,0.931034482758621,0.0271668481778736
"SM","3PSM",4,0.9,0.03
"SM","3PSM",5,1,0
"SM","3PSM",6,0.96,0.0195959179422654
"SM","3PSM",7,0.94,0.0237486841740758
"SM","3PSM",8,0.94,0.0237486841740758
"SM","4PSM",1,0.959459459459459,0.0229267355773281
"SM","4PSM",2,0.947368421052632,0.0295763940499482
"SM","4PSM",3,0.876712328767123,0.0384792812699607
"SM","4PSM",4,0.9125,0.0315918798902503
"SM","4PSM",5,0.95,0.0217944947177034
"SM","4PSM",6,0.93,0.0255147016443461
"SM","4PSM",7,0.94,0.0237486841740758
"SM","4PSM",8,0.95,0.0217944947177034
"puniform","default",1,0.92,0.0542586398650021
"puniform","default",2,0.9,0.03
"puniform","default",3,0.857142857142857,0.0539949247156039
"puniform","default",4,0.848484848484849,0.0360356600006402
"puniform","default",5,0.978947368421053,0.0147289254556963
"puniform","default",6,0.94,0.0237486841740758
"puniform","default",7,0.76,0.0427083130081252
"puniform","default",8,0.49,0.0499899989998
"puniform","star",1,0.966666666666667,0.0189215404065849
"puniform","star",2,0.94,0.0237486841740758
"puniform","star",3,0.966666666666667,0.0189215404065849
"puniform","star",4,0.95959595959596,0.0197896906951266
"puniform","star",5,0.97,0.017058722109232
"puniform","star",6,0.95,0.0217944947177034
"puniform","star",7,0.94,0.0237486841740758
"puniform","star",8,0.94,0.0237486841740758
"pcurve","default",1,NA,NA
"pcurve","default",2,NA,NA
"pcurve","default",3,NA,NA
"pcurve","default",4,NA,NA
"pcurve","default",5,NA,NA
"pcurve","default",6,NA,NA
"pcurve","default",7,NA,NA
"pcurve","default",8,NA,NA
"EK","default",1,0.95,0.0217944947177034
"EK","default",2,0.92,0.0271293199325011
"EK","default",3,0.91,0.0286181760425084
"EK","default",4,0.95,0.0217944947177034
"EK","default",5,0.93,0.0255147016443461
"EK","default",6,0.96,0.0195959179422654
"EK","default",7,0.93,0.0255147016443461
"EK","default",8,0.94,0.0237486841740758
"AK","AK1",1,1,0
"AK","AK1",2,0.94,0.0237486841740758
"AK","AK1",3,0.989130434782609,0.0108103300885613
"AK","AK1",4,0.96969696969697,0.0172283407156049
"AK","AK1",5,0.98,0.014
"AK","AK1",6,0.96,0.0195959179422654
"AK","AK1",7,0.95959595959596,0.0197896906951266
"AK","AK1",8,0.94,0.0237486841740758
"AK","AK2",1,1,0
"AK","AK2",2,0.5,0.25
"AK","AK2",3,1,0
"AK","AK2",4,0.333333333333333,0.272165526975909
"AK","AK2",5,0.955555555555556,0.0217227826646151
"AK","AK2",6,1,0
"AK","AK2",7,0.94,0.0237486841740758
"AK","AK2",8,0.9375,0.0605153647844909
"RoBMA","PSMA",1,1,0
"RoBMA","PSMA",2,0.86,0.0346987031457949
"RoBMA","PSMA",3,1,0
"RoBMA","PSMA",4,0.81,0.0392300904918661
"RoBMA","PSMA",5,1,0
"RoBMA","PSMA",6,0.97,0.017058722109232
"RoBMA","PSMA",7,1,0
"RoBMA","PSMA",8,0.97,0.017058722109232
