"method","method_setting","condition_id","relative_bias","relative_bias_mcse"
"RMA","default",1,NA,NA
"RMA","default",2,-0.0332312019557437,0.0194188954856204
"RMA","default",3,NA,NA
"RMA","default",4,-0.0248142131514648,0.0268196047882182
"RMA","default",5,NA,NA
"RMA","default",6,-0.00695482559942967,0.00585076065865786
"RMA","default",7,NA,NA
"RMA","default",8,0.00400117029060741,0.00839483391709552
"PET","default",1,NA,NA
"PET","default",2,-0.126914188268192,0.0779085569390614
"PET","default",3,NA,NA
"PET","default",4,-0.0274505750732398,0.0944949443614005
"PET","default",5,NA,NA
"PET","default",6,-0.0205429222040804,0.0185283339334793
"PET","default",7,NA,NA
"PET","default",8,0.0184051648355022,0.0280978335666328
"PEESE","default",1,NA,NA
"PEESE","default",2,-0.0692060337040661,0.0404632305600501
"PEESE","default",3,NA,NA
"PEESE","default",4,-0.0186531344352191,0.0494523882431905
"PEESE","default",5,NA,NA
"PEESE","default",6,-0.012634463081413,0.00969898769871627
"PEESE","default",7,NA,NA
"PEESE","default",8,0.01052715724594,0.0151119563125059
"PETPEESE","default",1,NA,NA
"PETPEESE","default",2,-0.109551681355246,0.0685754815587037
"PETPEESE","default",3,NA,NA
"PETPEESE","default",4,-0.00148003172386196,0.0809525723479486
"PETPEESE","default",5,NA,NA
"PETPEESE","default",6,-0.0173141820058177,0.0151058299300922
"PETPEESE","default",7,NA,NA
"PETPEESE","default",8,0.0189337007987551,0.0232187393479698
"WLS","default",1,NA,NA
"WLS","default",2,-0.0388608954387183,0.0191109527589273
"WLS","default",3,NA,NA
"WLS","default",4,-0.0272327342961703,0.0268311384129977
"WLS","default",5,NA,NA
"WLS","default",6,-0.006875573316983,0.00584786007924789
"WLS","default",7,NA,NA
"WLS","default",8,0.00456417470305445,0.00870445529401121
"WILS","default",1,NA,NA
"WILS","default",2,-0.175706020855649,0.0279864069958427
"WILS","default",3,NA,NA
"WILS","default",4,-0.209178362577139,0.035863186808232
"WILS","default",5,NA,NA
"WILS","default",6,-0.0733726938910459,0.0105330911445334
"WILS","default",7,NA,NA
"WILS","default",8,-0.193189053875014,0.0228852331179187
"WAAPWLS","default",1,NA,NA
"WAAPWLS","default",2,-0.0393944727117992,0.0188895552432351
"WAAPWLS","default",3,NA,NA
"WAAPWLS","default",4,-0.0216190743275613,0.0299890693873838
"WAAPWLS","default",5,NA,NA
"WAAPWLS","default",6,0.00769513425893539,0.0121075830324264
"WAAPWLS","default",7,NA,NA
"WAAPWLS","default",8,0.0369737867388141,0.0292922744617463
"trimfill","default",1,NA,NA
"trimfill","default",2,-0.0789782162196318,0.0206178748891105
"trimfill","default",3,NA,NA
"trimfill","default",4,-0.0692142265066831,0.0301383687410523
"trimfill","default",5,NA,NA
"trimfill","default",6,-0.0302349224917087,0.00669519277410332
"trimfill","default",7,NA,NA
"trimfill","default",8,-0.0397995532157173,0.0108424016868745
"SM","3PSM",1,NA,NA
"SM","3PSM",2,-0.00743106678296934,0.0341546100000037
"SM","3PSM",3,NA,NA
