"method","method_setting","condition_id","rmse","rmse_mcse"
"RMA","default",1,0.0568936170019724,0.00383238523838336
"RMA","default",2,0.0588157398344338,0.00402808681347549
"RMA","default",3,0.0778568832374531,0.00553370369867602
"RMA","default",4,0.0804008810061535,0.00485467812472798
"RMA","default",5,0.0175435658169756,0.0010491220119103
"RMA","default",6,0.0175884917050641,0.00136210958347492
"RMA","default",7,0.0251343269122514,0.00176697079311154
"RMA","default",8,0.0250869962312838,0.00210334488183273
"PET","default",1,0.242831589525187,0.0252760551174044
"PET","default",2,0.235650294533007,0.0163118951890345
"PET","default",3,0.328753601480683,0.0274370318159504
"PET","default",4,0.282184039501451,0.0214114218077002
"PET","default",5,0.0644167983938132,0.0058006992559269
"PET","default",6,0.0556486886606019,0.003813009022648
"PET","default",7,0.0891307156315596,0.00548893768553013
"PET","default",8,0.0840525301580941,0.00583449501334911
"PEESE","default",1,0.117965221730018,0.0117585806379515
"PEESE","default",2,0.122552663915699,0.00831532034405299
"PEESE","default",3,0.170801664840078,0.012376161005302
"PEESE","default",4,0.147719546409791,0.0113665615536261
"PEESE","default",5,0.0320789298948132,0.00289450149211152
"PEESE","default",6,0.0291981779905264,0.00186159957184179
"PEESE","default",7,0.0469428731435481,0.00272224380226239
"PEESE","default",8,0.0452190390849679,0.00280523585400182
"PETPEESE","default",1,0.190120171198821,0.0124696571208833
"PETPEESE","default",2,0.207316853435944,0.014404400092078
"PETPEESE","default",3,0.25825369740428,0.0211948188796431
"PETPEESE","default",4,0.241640785392124,0.0130996144294796
"PETPEESE","default",5,0.049437111841191,0.00324388690837551
"PETPEESE","default",6,0.0453885273274059,0.00246520948261109
"PETPEESE","default",7,0.074068407473961,0.00346880051815972
"PETPEESE","default",8,0.0695394310977099,0.00411862066022175
"WLS","default",1,0.0561470833586031,0.00380446613751746
"WLS","default",2,0.0582245764200187,0.00395264109856802
"WLS","default",3,0.0775843090386564,0.0055454692098083
"WLS","default",4,0.0805055523639252,0.005406969621115
"WLS","default",5,0.0175659383339406,0.00106072268316547
"WLS","default",6,0.0175770888158966,0.00136938717198148
"WLS","default",7,0.0250583781709552,0.00157196091107926
"WLS","default",8,0.0260185251518388,0.00205295349957443
"WILS","default",1,0.0604969219994382,0.00462757069428879
"WILS","default",2,0.0987785087951198,0.00841811305887162
"WILS","default",3,0.0802541344041319,0.00541808884077553
"WILS","default",4,0.124087715913366,0.00950947452176165
"WILS","default",5,0.0171211963428525,0.00101583298026659
"WILS","default",6,0.0383803157818008,0.00314879076650239
"WILS","default",7,0.0298443947171033,0.00194084874999847
"WILS","default",8,0.0895848756853348,0.00494108669191464
"WAAPWLS","default",1,0.0561470833586031,0.00380446613751746
"WAAPWLS","default",2,0.0576098733035483,0.0039264483942562
"WAAPWLS","default",3,0.0775843090386564,0.0055454692098083
"WAAPWLS","default",4,0.0897508894261065,0.00870748175482055
"WAAPWLS","default",5,0.0175659383339406,0.00106072268316547
"WAAPWLS","default",6,0.0362143347195242,0.00457698637385336
"WAAPWLS","default",7,0.0250583781709552,0.00157196091107926
"WAAPWLS","default",8,0.0881370989363749,0.0118226740966887
"trimfill","default",1,0.0648361900619273,0.00471470709105623
"trimfill","default",2,0.0659468911548786,0.00451800972675205
"trimfill","default",3,0.0908808675637946,0.00591611735778976
"trimfill","default",4,0.0923271213814984,0.00880468331604687
"trimfill","default",5,0.0232974090365047,0.00206126573326535
"trimfill","default",6,0.0219469747437636,0.00172282965833778
"trimfill","default",7,0.036911461508779,0.0026046186268264
"trimfill","default",8,0.0344963661509535,0.00262493860416917
"SM","3PSM",1,0.0727280351704086,0.00671330597186481
"SM","3PSM",2,0.100418389091632,0.00744833685280688
"SM","3PSM",3,0.098473440358288,0.00830500889109065
"SM","3PSM",4,0.121160837287378,0.00851042219993801
"SM","3PSM",5,0.0190275503676699,0.001273527135992
"SM","3PSM",6,0.0265311301215936,0.00182979746842058
"SM","3PSM",7,0.0351316879684746,0.00414555454618662
"SM","3PSM",8,0.039601644032665,0.00261023135192439
"SM","4PSM",1,0.106745645739939,0.00750299845566279
"SM","4PSM",2,0.122848945061976,0.015314004657439
"SM","4PSM",3,0.188280923048146,0.0171358446057429
"SM","4PSM",4,0.168393511672601,0.0213928324386919
"SM","4PSM",5,0.0311443298430607,0.00227304088588876
"SM","4PSM",6,0.0319402906893003,0.00233332770368207
"SM","4PSM",7,0.0583657054170697,0.00426814244009068
"SM","4PSM",8,0.0461809474271537,0.0030976621042932
"puniform","default",1,4.58286887433415,2.04384208661025
"puniform","default",2,0.612361567288588,0.164520761436087
"puniform","default",3,0.612376205302846,0.122671676186533
"puniform","default",4,0.246037970192826,0.0335168877519687
"puniform","default",5,0.578728710528966,0.0846354081843163
"puniform","default",6,0.0516559022881945,0.00410830195664269
"puniform","default",7,0.29829176074314,0.024833384423169
"puniform","default",8,0.103288723517087,0.00445050964568746
"puniform","star",1,0.0904153141761829,0.0103132085044637
"puniform","star",2,0.106689335999051,0.0079463419609975
"puniform","star",3,0.109276853786362,0.00987487302950624
"puniform","star",4,0.119222605577763,0.00838520853154845
"puniform","star",5,0.0193510798405796,0.00133341010593138
"puniform","star",6,0.0275663496771974,0.00180071095987758
"puniform","star",7,0.0353035826427785,0.00398514848376624
"puniform","star",8,0.0401765138282713,0.00297282823830456
"pcurve","default",1,3.99993974725793,0
"pcurve","default",2,3.69993974725793,0
"pcurve","default",3,3.99993974725793,0
"pcurve","default",4,3.69993974725793,0
"pcurve","default",5,3.99993974725793,0
"pcurve","default",6,3.69993974725793,0
"pcurve","default",7,3.99993974725793,0
"pcurve","default",8,3.69993974725793,0
"EK","default",1,0.242831589525187,0.0252760551174044
"EK","default",2,0.235650294533007,0.0163118951890345
"EK","default",3,0.328753601480683,0.0274370318159504
"EK","default",4,0.282184039501451,0.0214114218077002
"EK","default",5,0.0644167983938132,0.0058006992559269
"EK","default",6,0.0556486886606019,0.003813009022648
"EK","default",7,0.0891307156315596,0.00548893768553013
"EK","default",8,0.0840525301580941,0.00583449501334911
"AK","AK1",1,0.159866771897742,0.0607028444354729
"AK","AK1",2,0.0951521539624737,0.00714780836454351
"AK","AK1",3,5.22701176204001,2.18347902904982
"AK","AK1",4,0.112136416340748,0.0085583635384859
"AK","AK1",5,0.0186321072401295,0.00131955432388206
"AK","AK1",6,0.0260674335032478,0.00178346993890701
"AK","AK1",7,0.0286543038414393,0.00264337062249761
"AK","AK1",8,0.0373483409881271,0.00257766758789003
"AK","AK2",1,0.135983104582787,0.0285314854742628
"AK","AK2",2,0.16422445277748,0.0526525633776885
"AK","AK2",3,0.22334319271888,0.038448270638978
"AK","AK2",4,0.353261999877683,0.102282794962605
"AK","AK2",5,0.0353477699612817,0.00277469453769489
"AK","AK2",6,0.0192461063329388,0.00448651320025831
"AK","AK2",7,0.0683709491553587,0.00513317618202897
"AK","AK2",8,0.0426026490825913,0.00728487004134624
"RoBMA","PSMA",1,0.0141995648391721,0.00187983847249759
"RoBMA","PSMA",2,0.148626255486781,0.00770348559888561
"RoBMA","PSMA",3,0.0415838026575878,0.00697928769458485
"RoBMA","PSMA",4,0.16402329071564,0.00808057509366093
"RoBMA","PSMA",5,0.00403071283520978,0.00148807821194801
"RoBMA","PSMA",6,0.0213470935562254,0.00154892714325154
"RoBMA","PSMA",7,0.00506803006475119,0.00184698180807005
"RoBMA","PSMA",8,0.0335925846047109,0.00364240834843225
